instance,integrator,budget_s,seed,best_length,hk_bound,gap_pct,wall_time_s,machine_info,deviations,n_nodes,normalized_time
eil51,lkh,30.0,29,426,426,0.0,0.020807772998523433,"{'cpu': 'x86_64', 'memory_gb': 15.43875503540039, 'os': 'Linux 6.14.0-35-generic', 'python': '3.12.3', 'hostname': 'leo-GS66-Stealth-10UE'}",['Zero variance across seeds (instance too small per Johnson Principle 3)'],51,0.00010376745743629511
eil51,lkh,30.0,30,426,426,0.0,0.02212786999734817,"{'cpu': 'x86_64', 'memory_gb': 15.43875503540039, 'os': 'Linux 6.14.0-35-generic', 'python': '3.12.3', 'hostname': 'leo-GS66-Stealth-10UE'}",['Zero variance across seeds (instance too small per Johnson Principle 3)'],51,0.00011035072365834817
eil51,lkh,300.0,1,426,426,0.0,0.01840931900369469,"{'cpu': 'x86_64', 'memory_gb': 15.43875503540039, 'os': 'Linux 6.14.0-35-generic', 'python': '3.12.3', 'hostname': 'leo-GS66-Stealth-10UE'}",['Zero variance across seeds (instance too small per Johnson Principle 3)'],51,9.180647185465864e-05
eil51,lkh,300.0,2,426,426,0.0,0.019251258003350813,"{'cpu': 'x86_64', 'memory_gb': 15.43875503540039, 'os': 'Linux 6.14.0-35-generic', 'python': '3.12.3', 'hostname': 'leo-GS66-Stealth-10UE'}",['Zero variance across seeds (instance too small per Johnson Principle 3)'],51,9.600518496619504e-05
eil51,lkh,300.0,3,426,426,0.0,0.021362754996516742,"{'cpu': 'x86_64', 'memory_gb': 15.43875503540039, 'os': 'Linux 6.14.0-35-generic', 'python': '3.12.3', 'hostname': 'leo-GS66-Stealth-10UE'}",['Zero variance across seeds (instance too small per Johnson Principle 3)'],51,0.0001065351284820513
eil51,lkh,300.0,4,426,426,0.0,0.02122776100441115,"{'cpu': 'x86_64', 'memory_gb': 15.43875503540039, 'os': 'Linux 6.14.0-35-generic', 'python': '3.12.3', 'hostname': 'leo-GS66-Stealth-10UE'}",['Zero variance across seeds (instance too small per Johnson Principle 3)'],51,0.00010586191932454239
eil51,lkh,300.0,5,426,426,0.0,0.019854994003253523,"{'cpu': 'x86_64', 'memory_gb': 15.43875503540039, 'os': 'Linux 6.14.0-35-generic', 'python': '3.12.3', 'hostname': 'leo-GS66-Stealth-10UE'}",['Zero variance across seeds (instance too small per Johnson Principle 3)'],51,9.901599009546617e-05
eil51,lkh,300.0,6,426,426,0.0,0.020134922000579536,"{'cpu': 'x86_64', 'memory_gb': 15.43875503540039, 'os': 'Linux 6.14.0-35-generic', 'python': '3.12.3', 'hostname': 'leo-GS66-Stealth-10UE'}",['Zero variance across seeds (instance too small per Johnson Principle 3)'],51,0.00010041197882284298
eil51,lkh,300.0,7,426,426,0.0,0.01941926199651789,"{'cpu': 'x86_64', 'memory_gb': 15.43875503540039, 'os': 'Linux 6.14.0-35-generic', 'python': '3.12.3', 'hostname': 'leo-GS66-Stealth-10UE'}",['Zero variance across seeds (instance too small per Johnson Principle 3)'],51,9.684301356089037e-05
eil51,lkh,300.0,8,426,426,0.0,0.020072680999874137,"{'cpu': 'x86_64', 'memory_gb': 15.43875503540039, 'os': 'Linux 6.14.0-35-generic', 'python': '3.12.3', 'hostname': 'leo-GS66-Stealth-10UE'}",['Zero variance across seeds (instance too small per Johnson Principle 3)'],51,0.00010010158566390435
